id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<pages>	score<doi>	score<pages doi>	score<isbn>	score<pages isbn>	score<references>
british crime-related	-0.437	-0.0123	5	1531	255645	543	0.2357	9.208	2.2486	45.488	2.4751
british currency	-0.5378	-0.2026	5	1242	39985	31	0	0	2.129	48.387	2.129
british empire	-0.9359	-0.1964	6	1884	1265733	951	0.8002	20.82	5.5205	61.199	6.2997
british folk rock task force	0.5399	0.3684	2	729	8726	17	0	0	2.1765	70.588	2.1765
british indian ocean territory	-0.5964	-0.1515	1	579	3952	4	0.5	25	5.75	75	6
british library-related	-0.7813	0.6448	4	1180	49247	84	1.0952	23.81	4.5119	59.524	5.5952
british military history	-1.2089	-0.6051	6	1998	10838834	16385	0.1672	6.762	2.7448	55.185	2.9061
british museum-related	-0.6274	0.3484	4	1394	98611	160	1.2688	28.125	4.3063	55.625	5.5563
british overseas territories	-0.6185	-0.2123	1	1749	332050	242	0.9421	24.793	4.343	54.545	5.2397
british royalty	-0.509	-0.0586	5	1644	344570	237	0.443	21.097	4.5148	67.932	4.9536
british television	0.4707	0.2452	2	1832	493701	940	0.0468	4.149	0.9085	23.723	0.9489
british virgin islands	-0.3726	-0.1907	1	1275	30024	39	0.5897	17.949	3.0513	43.59	3.6154
britney spears	0.8708	0.3651	2	1002	54711	85	0	0	0.5294	21.176	0.5294
broadcast engineering and technology	0.6198	0.4907	2	1348	39282	32	0.9688	25	1.5938	59.375	2.3438
brunei	-0.5522	-0.0889	1	1496	110936	115	1.4696	25.217	4.2261	46.957	5.6522
buckethead	0.6434	0.1886	2	700	6866	13	0	0	0.6154	46.154	0.6154
buddhism	-0.5599	0.7866	4	1818	1043392	1016	1.0709	25.197	6.8671	70.374	7.8976
buffyverse	0.9074	0.1571	2	899	22136	61	0.0328	3.279	1.3934	42.623	1.4262
bulgaria	-1.1134	-0.1184	6	1915	1042295	694	0.585	12.968	4.5014	55.764	5.0663
bull riding	0.4636	-0.2509	3	396	2380	5	0.2	20	0.2	20	0.4
burkina faso	-0.8183	0.0483	1	1215	44009	65	1.6154	29.231	4.2462	52.308	5.8615
burundi	-0.73	0.0617	1	1185	46085	62	1.2742	29.032	2.5484	50	3.8065
bus transport	-0.0436	-0.041	5	1541	168043	514	0.0739	4.669	0.7879	33.852	0.858
c/c++	0.5417	0.7233	2	460	18906	53	0.4717	13.208	2.0377	49.057	2.3208
cal poly pomona	0.5006	-0.1617	3	729	6869	8	0	0	0.75	25	0.75
california	0.5975	-0.1842	2	2060	5440627	7520	0.4137	10.293	1.6677	38.936	2.0633
california road transport	0.4267	-0.8522	3	812	43924	202	0.0149	1.485	0.2178	11.881	0.2327
california state university	0.8043	-0.3785	3	1404	82061	89	0.0225	2.247	1.1011	29.213	1.1236
calvinism	-0.6701	0.5444	4	1795	733364	639	0.5149	16.745	4.0829	54.773	4.5493
cambodia	-0.6319	-0.1228	4	1590	181683	179	1.0838	30.726	5.4581	56.425	6.514
cambrian explosion	-0.1061	0.9436	1	795	22515	23	19.5217	95.652	3.1304	65.217	22.5217
cameroon	-0.6837	0.0124	1	1346	51466	130	0.7385	23.846	1.7769	33.846	2.5077
canada road transport	0.2816	-1.0067	3	799	208528	319	0	0	0.2382	13.166	0.2382
canada-related	0.1539	-0.877	3	2064	5414143	9962	0.3942	8.924	1.678	35.916	2.061
canadian animation	0.9264	0.004	2	1167	33431	70	0.0857	2.857	2.1714	44.286	2.2143
canadian cinema	0.8518	0.1527	2	1634	166036	383	0.0914	4.178	1.2715	30.548	1.3473
canadian comics	0.7638	-0.088	2	936	21725	57	0.0351	1.754	0.8421	42.105	0.8772
canadian communities	0.1926	-0.9666	3	1801	330181	367	0.1362	7.902	1.3787	41.417	1.5123
canadian football	0.7221	-0.7633	3	1404	188039	341	0.0997	0.88	0.9531	27.859	1.0499
canadian law	0.0518	-0.836	3	1318	104199	244	0.3361	13.115	1.3197	31.557	1.6516
canadian military history	-0.712	-0.9602	6	1903	1970195	1819	0.1677	5.168	3.6449	59.483	3.8037
canadian music	0.6641	0.182	2	1681	285787	718	0.0279	1.532	0.812	25.627	0.8384
canadian sport	0.6104	-0.725	3	1664	674270	1224	0.0131	1.144	1.1511	28.105	1.1642
canadian territories	-0.0877	-0.845	1	1580	144911	181	1.9503	27.072	2.8674	52.486	4.7901
canadian tv shows	0.8734	-0.2003	2	1531	115409	223	0.009	0.897	0.6413	21.525	0.6502
canberra	-0.0614	0.267	1	1336	65595	177	0.0678	4.52	0.887	31.638	0.9548
cannabis	0.2812	0.5505	1	1778	164301	187	5.6578	38.503	3.385	50.802	8.9305
canoeing and kayaking	-0.2024	-0.7655	1	1233	30434	59	0.4068	13.559	2.1525	40.678	2.5424
canon law	-0.6937	0.4969	4	1157	57924	44	0.0227	2.273	0.3409	18.182	0.3636
cape cod and the islands	0.106	-0.6291	3	1836	382970	284	1.3028	18.662	3.9437	57.394	5.2218
cape verde	-0.2061	-0.661	1	1167	31616	67	0.4179	14.925	0.6269	23.881	1.0299
capital district	0.1537	-0.7178	3	1548	181192	250	0.372	6.4	2.04	45.6	2.408
cardiff	-0.1377	0.1709	5	1454	92131	181	0.0884	6.077	1.221	33.702	1.3094
cardiology	0.2182	0.848	1	1490	113518	228	20.0658	90.789	2.9605	74.123	22.8114
caribbean	-0.1239	-0.5729	1	1972	1138905	1647	0.9897	19.733	1.9192	38.676	2.8925
caribbean netherlands	-0.5643	0.0067	1	1221	24267	16	0.125	6.25	1.9375	50	2.0625
carnivorous plant	-0.0558	0.8185	1	674	13924	82	2.6585	35.366	0.4512	14.634	3.0854
carrom	-0.4121	0.907	4	19	33	2	0	0	0	0	0
cartoon network	1.0321	-0.0189	2	1401	128392	223	0.0448	3.139	0.861	28.251	0.9058
catalan-speaking countries	-0.7454	0.0771	4	1694	220946	289	0.2422	10.727	2.6955	37.024	2.9239
catalonia	-0.5338	-0.0553	4	1427	74049	121	0.0579	3.306	2.0413	26.446	2.0992
catholicism	-0.7323	0.4484	4	1984	4407142	5016	0.3303	11.882	2.6976	42.982	3.0102
cats	-0.2083	0.8622	1	1571	133911	275	8.7491	68.364	3.6291	67.273	12.24
cayman islands	-0.2801	-0.4034	1	1318	31054	29	0.9655	34.483	4.0345	41.379	5
ce	-0.1704	0.0262	1	1861	282123	531	2.0358	31.073	2.0075	52.542	3.9642
cedar fair entertainment company	0.9303	-0.1896	2	692	13087	74	0	0	0.3649	20.27	0.3649
celtic f.c.	0.6848	-0.9327	5	989	93913	161	0.0124	0.621	0.8385	31.677	0.8509
celts	-0.6396	0.2485	5	1786	387737	322	0.7205	26.398	4.8168	65.528	5.5248
cemeteries	-0.2936	-0.7322	6	1383	79042	134	0.1194	5.97	1.1866	39.552	1.306
central african republic	-0.7286	-0.0574	1	1145	33540	47	0.8511	23.404	4.1064	51.064	4.9149
central america	-0.2594	-0.4264	1	1834	352702	337	3.0415	40.059	3.4807	50.445	6.4688
central asia	-0.8823	0.1238	4	1842	851015	802	1.3616	25.686	5.6322	54.364	6.9613
cephalopod	-0.0409	0.96	1	1045	29471	140	5	60.714	1.1571	39.286	6.0286
cetacea	-0.1724	0.785	1	1376	77013	186	8.6667	67.204	3.0108	60.215	11.5
chad	-0.8714	0.0325	1	1402	90396	93	1.4839	33.333	3.5376	53.763	4.9677
chandigarh	-0.3057	0.9051	4	913	12980	7	1.1429	42.857	5.7143	57.143	6.8571
channel islands-related	-0.616	-0.0894	5	1452	76163	108	0.3426	16.667	3.2778	49.074	3.6204
charismatic christianity	-0.5723	0.5732	4	1782	335918	334	0.4042	11.677	3.8413	52.695	4.2275
charlotte	0.4968	-0.5762	3	1183	38898	45	0	0	0.7556	13.333	0.7556
chechnya	-0.7248	-0.2233	6	911	26919	20	0.4	20	2.55	55	2.95
cheeses	-0.0243	0.7304	1	945	12284	46	1.4783	36.957	2.7174	56.522	4.087
chemical element isotope	-0.0889	0.6164	1	898	22241	45	6.7778	82.222	2.1556	55.556	8.6889
chemical elements	-0.0169	0.6263	1	1624	320875	281	18.3808	91.103	9.6868	83.274	27.1281
chemicals	0.1063	0.8415	1	1789	693419	1510	15.6066	88.411	4.3278	64.437	19.4033
chemistry	0.0145	0.7448	1	1835	781247	2322	8.8372	74.806	2.2205	55.469	10.7502
chennai	-0.3357	0.8873	4	1474	119649	156	0.6731	12.179	2.0705	33.333	2.7372
cherub and henderson's boys	0.0408	0.4864	5	25	29	1	0	0	0	0	0
cheryl	0.7831	0.2494	2	904	27016	37	0	0	0.2162	10.811	0.2162
cheshire	-0.5089	0.3631	5	1675	331834	714	0.1975	7.143	2.2493	63.585	2.4454
chess	-0.02	0.0142	2	1629	127881	586	0.1297	4.608	1.6553	38.908	1.785
chhattisgarh	-0.3191	0.9323	4	865	15390	20	0.05	5	1.75	20	1.8
chicago	0.6757	-0.3031	3	2023	3222918	4488	0.4251	11.72	1.7712	42.491	2.1825
chicago cubs	0.9468	-0.5052	3	1154	349752	292	0.0034	0.342	0.9966	35.274	1
chicago folk task force	0.5747	0.1656	2	529	4258	5	0	0	1.6	60	1.6
children and young adult literature	0.2731	0.3401	2	1932	761865	2355	0.2684	11.168	2.0837	44.289	2.3452
children's museum of indianapolis-related	-0.2945	0.266	5	1171	18948	27	1.037	37.037	2.6667	70.37	3.7037
chile	-0.3251	-0.2829	1	1794	320679	623	1.8491	27.929	1.7175	43.339	3.488
china-related	-0.5847	-0.0426	4	2025	3305432	5307	0.9723	20.577	3.1722	44.488	4.1102
chinese cinema	0.6975	0.0753	2	1183	43813	118	0.2288	9.322	1.4237	28.814	1.6441
chinese cities	-0.3902	-0.331	1	1623	126004	36	1.5833	47.222	8.7222	86.111	9.8056
chinese history	-0.6593	-0.0231	4	1833	459287	487	0.7515	24.025	5.1006	57.495	5.8172
chinese in new york city	0.4206	-0.1427	2	854	17652	25	0.04	4	2.84	48	2.88
chinese military history	-0.6996	-0.4807	6	1891	1257427	1273	0.3048	10.605	3.9309	47.84	4.227
chinese politics	-0.5361	-0.0798	4	1011	35465	36	1.3889	22.222	5.3611	36.111	6.6389
chinese provinces	-0.4794	-0.1945	4	1437	68142	14	1.1429	57.143	7.7857	85.714	8.7143
chinese surname	-0.5308	-0.068	4	306	1648	4	0	0	4.25	50	4.25
chinese-language entertainment	0.4345	0.2311	2	1188	55583	250	0.048	3.2	0.464	12.8	0.504
chiropractic	0.0344	0.7926	1	1317	41011	66	18.197	80.303	4.6364	65.152	22.697
chișinău	-0.7014	-0.1743	6	427	2400	2	0	0	1.5	100	1.5
christian films	0.4656	0.2921	2	1200	34200	66	0.0455	3.03	2.7273	42.424	2.7727
christian history	-0.8067	0.6937	4	1508	308713	88	1.6818	36.364	11.2045	78.409	12.8182
christian metal	0.5775	0.4421	2	487	6543	45	0	0	0.6	22.222	0.6
christian music	0.3788	0.4917	2	1632	272019	944	0.0477	3.284	0.8909	25	0.9301
christian theology	-0.6878	0.6045	4	1812	1403425	560	0.9893	30.357	9.45	76.25	10.3661
christianity	-0.776	0.5577	4	2054	9390186	13181	0.3362	11.486	2.9159	48.441	3.2313
christianity in china work group	-0.6768	0.3878	4	1276	93303	145	0.3172	17.241	3.1862	55.862	3.4759
christina aguilera	0.8112	0.3752	2	924	42357	67	0.0149	1.493	0.5224	29.851	0.5373
christmas	0.316	0.5281	2	1693	187095	221	0.1719	9.502	3	52.036	3.1719
cincinnati	0.7307	-0.359	3	1630	157699	154	0.2013	12.338	2.4675	48.052	2.6623
cincinnati reds	0.925	-0.5962	3	1048	291085	270	0.0037	0.37	0.9815	32.593	0.9852
circus	0.4143	0.2372	2	1499	41406	138	0.8841	15.217	1.558	50	2.413
civil air patrol	-0.4173	-1.1515	6	430	9782	10	0	0	0.1	10	0.1
civil rights movement	0.1785	-0.2909	3	1807	822819	446	0.9103	27.13	5.6099	62.78	6.4978
clans of scotland	-0.7099	0.1384	5	1044	65596	153	1.915	16.993	7.6928	54.902	8.9542
classical greece and rome	-1.0043	0.4317	4	1927	3293099	3091	0.7904	24.588	4.9033	61.048	5.6347
classical tamil	-0.3556	0.8809	4	997	23380	15	2.4667	20	8.4667	60	10.8667
classical warfare	-1.1503	0.3203	4	1661	1040747	1289	0.4849	16.835	4.36	61.908	4.8123
cleveland	0.7709	-0.3531	3	1777	374037	455	0.2659	6.374	3.1516	50.989	3.4
cleveland museum of art	-0.3894	0.3222	4	459	2850	10	0	0	1.9	50	1.9
climate	-0.1142	0.4175	1	1550	113443	131	6.9313	66.412	2.1985	49.618	8.9466
climate and environment of ethiopia	-0.2454	0.8104	1	262	867	1	4	100	9	100	13
climate change	-0.0253	0.4717	1	1876	775125	1152	6.5451	58.42	1.9497	45.312	8.27
climbing	-0.3163	-0.1646	1	1565	84141	189	0.545	16.931	2.9577	60.317	3.5026
cold war	-0.4893	-0.7975	6	1982	5328889	7323	0.1732	5.585	2.5563	48.682	2.7229
coldplay	0.7166	0.3904	2	991	30891	42	0	0	0.3095	16.667	0.3095
college baseball	0.8282	-0.592	3	1566	949288	1137	0.0255	0.967	0.8725	26.825	0.8962
college basketball	0.7379	-0.4955	3	1712	1073462	2134	0.0159	0.703	0.4991	17.432	0.5145
college football	0.7017	-0.7036	3	1864	2055989	3676	0.0457	1.115	0.7851	25.136	0.8294
college ice hockey task force	0.5068	-0.7611	3	884	44602	191	0.0157	1.047	0.2251	11.518	0.2408
college softball	0.6948	-0.4971	3	455	6238	17	0	0	0.1765	17.647	0.1765
colombia	-0.2276	-0.3567	1	1785	296639	547	0.5302	13.163	1.1883	26.691	1.7038
color	0.0328	0.6081	1	1599	83991	115	5.3739	52.174	3.9217	73.043	9.1652
colorado	0.2392	-0.6191	3	1879	616565	957	0.2184	6.792	1.2727	34.483	1.4901
colorado road transport	0.343	-0.8786	3	402	8925	84	0	0	0.119	4.762	0.119
columbia university	0.2329	-0.2288	3	1848	538263	338	1.5237	33.432	4.5444	61.243	6.0237
"columbia, missouri"	0.4715	-0.4722	3	1067	23910	62	0.2097	6.452	0.7097	17.742	0.9194
columbus blue jackets task force	0.5263	-0.7457	3	619	17968	58	0.0172	1.724	0.0862	8.621	0.1034
comedy	0.7254	-0.0348	2	1935	1801533	3015	0.1138	5.008	1.4272	32.438	1.5367
comic book films	1.013	0.1371	2	1601	416050	362	0.0249	1.657	0.9779	29.006	1
comic strips	0.7869	0.0486	2	1539	103187	206	0.0583	3.883	2.4757	57.767	2.5291
comics	1.004	0.1954	2	1915	2124049	3690	0.0509	2.656	1.7813	46.829	1.8295
comics creators	0.9333	0.196	2	1661	288066	532	0.0583	4.135	2.5282	53.383	2.5771
comoros	-0.6044	0.1885	4	1547	68338	32	3.8125	28.125	4.6875	34.375	8.2188
company	0.4548	0.1682	2	2069	3476863	4821	0.1873	7.426	1.044	30.575	1.2197
composers	0.255	0.3881	2	1654	356221	495	0.5535	14.747	4.0061	43.434	4.5495
computational biology	0.0587	0.945	1	1222	120235	346	18.2717	87.572	1.5925	45.954	19.3873
computer animation	0.9881	0.0778	2	1599	226191	279	0.0717	3.943	1.0466	34.767	1.1004
computer graphics	0.6394	0.6317	2	1205	63195	107	1.1776	31.776	1.3925	42.056	2.4019
computer hardware	0.4945	0.6622	2	1679	428727	845	1.2024	27.337	1.4047	36.686	2.3621
computer networking	0.4575	0.6184	2	1665	279175	564	1.2571	32.092	1.8262	46.986	2.7199
computer science	0.414	0.7028	2	1752	669833	1674	3.3895	52.449	2.7419	56.153	5.5448
computer security	0.4535	0.6553	2	1590	292622	677	0.9453	25.258	1.3427	35.155	1.9557
computer vision	0.3947	0.6242	2	514	6743	20	3.85	45	2.6	30	5.95
computing	0.5139	0.5909	2	2056	3461318	6090	1.3312	26.01	1.4975	37.783	2.5916
concert	0.6439	0.1554	2	1427	170602	281	0.0071	0.712	0.6868	11.744	0.694
connecticut	0.2011	-0.6536	3	1976	914275	1575	0.2051	7.365	1.101	34.857	1.2971
connecticut road transport	0.356	-0.8975	3	481	20103	240	0	0	0.075	2.5	0.075
conservatism	0.0136	-0.2751	3	2017	3367220	2025	0.8721	21.037	3.9812	48.593	4.7965
constellations	-0.2288	0.6915	1	931	33083	69	10.4203	78.261	6.6667	84.058	17.0145
constructed language	-0.3359	0.4516	4	1495	92312	126	0.746	27.778	3.9206	51.587	4.6508
containers	0.0295	0.5413	1	1205	33789	68	1.1029	44.118	1.3088	54.412	2.4118
contemporary christian	0.5244	0.419	2	367	2491	11	0	0	0.1818	18.182	0.1818
contemporary philosophy	-0.3315	0.5478	4	1734	804894	519	2.632	49.518	7.0231	68.786	9.4721
continental philosophy	-0.3711	0.5038	4	1623	442166	198	2.5354	46.465	9.096	73.737	11.5051
contract bridge	0.0099	0.0347	2	942	12153	73	0.0822	2.74	0.9041	30.137	0.9863
cook islands	-0.3678	-0.3328	1	1393	43116	66	1.2576	21.212	1.1667	30.303	2.303
core film	0.7209	0.0523	2	1765	379728	329	0.3465	17.629	6.7173	77.508	7.0395
core topic	-0.1394	0.6998	1	1988	801017	152	22.1382	89.474	19.3092	96.711	40.2566
core topic supplement	-0.3154	0.0112	1	2066	2326870	170	19.8765	87.647	30.3	97.647	49.4882
cornell university	0.4194	-0.2152	3	1343	41727	72	0.8611	29.167	1.7639	38.889	2.6111
corning museum of glass-related	-0.2041	0.3453	5	171	582	3	0.3333	33.333	1.3333	66.667	1.6667
cornwall-related	-0.4812	0.1349	5	1678	235096	531	0.4256	12.806	2.6384	55.367	3.0584
coronation street	0.9743	0.3553	2	463	7226	45	0	0	1.0889	28.889	1.0889
corporatism	-0.4557	0.2174	4	1093	37606	21	4.0952	42.857	3.2857	71.429	7.2381
cosmology	-0.2114	0.7077	1	1395	120907	97	16.4124	86.598	7.701	73.196	23.701
costa rica	-0.1994	-0.0204	1	1380	47464	160	1.5	26.875	1.6687	35	3.15
country	-0.3867	-0.249	1	2065	4363515	237	4.5148	79.747	25.038	95.781	29.3038
country music	0.6882	0.2074	2	1604	416264	1097	0.0091	0.456	1.031	30.356	1.0401
covid-19	0.2046	0.6302	1	1894	1283635	670	2.3075	19.851	0.4612	13.134	2.7
creationism	-0.2563	0.6822	4	1478	134742	133	4.4887	49.624	7.4662	68.421	11.7895
cricket	-0.0196	0.1485	5	1639	260197	751	0.0506	3.063	2.3009	46.471	2.3502
crime fiction task force	0.334	0.3627	2	1344	68280	233	0.073	5.579	2.2833	51.073	2.3519
crime-related	-0.1773	-0.0651	4	2022	2768696	4985	0.72	13.501	2.4056	40.421	3.1047
croatia	-1.1961	-0.1836	6	1915	1259294	1278	0.3427	8.451	3.4202	42.097	3.7402
crusades	-1.187	0.2082	4	1548	613033	571	0.4816	21.541	5.1103	66.025	5.5674
cryptids	0.0091	0.6099	1	1319	31771	52	2.8462	40.385	3.2692	57.692	6.0577
cryptocurrency	0.3767	0.6268	2	1066	34939	53	2.283	43.396	2.8302	64.151	4.3962
cryptography	0.3883	0.6508	2	1443	153684	308	1.9708	44.156	2.8636	54.545	4.2078
csi	0.7251	-0.0926	2	610	5827	9	1.6667	22.222	0.4444	33.333	2
cuba	-0.1372	-0.6216	3	1799	341611	466	0.5622	17.382	2.4871	41.202	3.0258
cue sports	-0.073	0.0389	5	1206	43062	225	0.0044	0.444	0.8889	29.778	0.8933
curaçao	-0.3233	-0.2035	1	1314	32048	40	0.25	7.5	1.65	40	1.8
curling	0.3071	-0.8714	3	876	20290	121	0.0083	0.826	0.0744	4.959	0.0826
cycling	-0.0526	-0.0761	5	1710	297806	1085	0.1253	2.949	0.9078	24.24	1.0304
cypriot	0.1533	0.3556	2	340	1265	9	0.1111	11.111	0.2222	22.222	0.3333
czech republic	-0.662	-0.357	6	1934	761698	727	0.4195	12.655	2.8322	42.366	3.2201
d.c. united	0.6446	-0.8161	5	1058	42403	63	0.1111	1.587	0.5397	15.873	0.6508
dad's army	0.2355	0.2181	2	399	2308	5	0	0	3.2	60	3.2
dallas-fort worth	0.613	-0.4213	3	1769	267072	366	0.0956	4.098	1.0792	30.055	1.1667
dam	-0.0936	-0.4344	1	1252	50498	308	0.2403	11.364	0.7305	27.922	0.9708
daman and diu	-1.1477	0.5058	4	140	604	1	0	0	7	100	7
dance	0.3332	0.3268	2	1852	538312	1186	0.2825	11.046	2.4039	39.629	2.6737
dartmouth college	0.3203	-0.2022	3	1604	123361	147	0.3878	16.327	1.9116	45.578	2.2993
darts	0.02	0.1083	5	700	6848	44	0.0455	4.545	0.2045	15.909	0.25
database	0.0283	0.8677	1	1299	102531	145	2.3517	36.552	1.4966	40.69	3.5655
david gilmour	0.6137	0.4695	2	813	8091	6	0	0	13.5	66.667	13.5
dc comics	1.0509	0.1573	2	1605	600115	813	0.0258	1.722	2.1538	58.18	2.1796
deaf	0.2127	0.3957	2	1638	93145	160	3.575	31.25	2.5875	42.5	6.075
death	-0.5209	0.1703	4	2022	2517172	3969	1.3049	19.325	2.9441	42.429	4.2177
defunct airlines	-0.2063	-0.8214	5	1131	59844	180	0.0111	1.111	1.0111	45	1.0222
degrassi	0.9145	-0.1223	2	586	6468	17	0	0	0.3529	29.412	0.3529
delaware	0.1001	-0.6699	3	1706	328144	465	0.2022	6.667	1.2667	43.871	1.4602
delaware art museum-related	-0.1449	0.3951	4	663	7817	9	0.1111	11.111	3	55.556	3.1111
delaware road transport	0.3446	-0.8663	3	365	10576	64	0.0156	1.562	0.0156	1.562	0.0312
delhi	-0.3461	0.8174	4	1459	164606	232	0.2629	12.069	2.2802	40.517	2.5388
demi lovato	0.8249	0.2781	2	702	15041	32	0	0	0.0625	3.125	0.0625
democratic republic of the congo	-0.6772	0.0304	1	1494	141247	296	1.348	29.054	3.2095	49.662	4.5372
demographics of australia	-0.1927	0.3421	1	1138	31323	31	2.9355	32.258	3.5484	64.516	6.4839
denmark	-0.608	0.0231	5	1852	579833	1781	0.2633	7.412	1.1561	27.063	1.4127
dentistry	0.1342	0.9146	1	1313	54356	223	9.6816	74.439	3.2825	60.09	12.8386
derby museum and art gallery-related	-0.3741	0.2718	5	873	15849	43	0.5349	27.907	1.8837	48.837	2.4186
derbyshire	-0.2921	0.0958	5	1430	122765	341	0.2229	11.437	1.695	43.109	1.912
dermatology	0.1437	0.8337	1	1650	216133	458	17.762	93.45	3.4869	79.476	21.0611
desperate housewives	0.7817	-0.0988	2	500	7335	23	0	0	0.3043	21.739	0.3043
desserts	0.0467	0.622	1	990	14331	39	0.5385	17.949	1.5641	35.897	2.1026
detroit	0.4898	-0.5477	3	1781	390365	646	0.0867	3.87	1.3576	32.508	1.4396
devon	-0.4272	0.1373	5	1666	262987	660	0.2348	9.091	1.9182	46.061	2.1485
dexter	0.8903	-0.1197	2	551	5406	22	0.0455	4.545	0.5	27.273	0.5455
dietary supplement	0.0319	0.8284	1	1403	98187	91	25.0879	91.209	7.1209	80.22	31.5165
digital preservation	0.1332	0.1009	2	2028	414506	18	1.8889	38.889	1.7778	33.333	3.3333
dinosaurs	-0.1336	0.9762	1	1313	143483	512	9.6602	84.375	2.5918	57.227	12.166
diptera	-0.0117	0.9261	1	1080	31709	182	8.3516	74.176	1.1429	37.912	9.4341
disability	0.2703	0.5988	1	1908	475326	976	8.4242	35.861	2.7971	46.721	11.0553
disaster management	0.1395	0.5394	1	2024	2160015	2654	1.2502	21.063	1.3794	26.564	2.5889
discography	0.7374	0.4849	2	1206	98853	565	0.0018	0.177	0.5487	24.956	0.5504
discrimination	-0.417	0.2346	4	1907	1438099	941	3.5515	46.121	8.2997	66.419	11.7226
disney	0.9145	0.1085	2	1902	867955	853	0.041	2.814	2.0059	41.266	2.0445
district of columbia	0.3794	-0.3404	3	1975	1785638	1552	0.2152	10.052	1.8731	41.495	2.0805
district of columbia road transport	0.3319	-0.8786	3	366	5183	12	0	0	0.0833	8.333	0.0833
djibouti	-0.8835	0.0848	4	1352	57157	45	1.7333	28.889	4.5111	37.778	6.1111
doctor who	0.8958	0.0063	2	1490	304252	594	0.0421	2.694	1.5337	44.108	1.5758
documentary films	0.4537	0.1013	2	1706	148645	370	0.1297	7.297	0.8135	22.162	0.9324
dogs	-0.1972	0.7837	1	1687	188421	598	4.7542	47.993	3.005	65.886	7.6706
dominica	-0.2959	-0.4177	1	1060	15193	27	0.4074	18.519	2.5185	51.852	2.9259
dominican republic	0.5784	-0.381	3	1746	229242	335	1.5761	22.388	1.9701	34.03	3.5284
donald trump	0.099	-0.3633	3	1626	621985	389	0.3162	8.74	0.8792	27.763	1.1722
dorset	-0.4138	0.0788	5	1451	104559	268	0.1903	9.328	1.9627	45.522	2.153
dravidian people	-0.3945	0.7121	4	582	6513	6	3.6667	50	13.6667	83.333	17.3333
dreamworks animation	1.0099	0.0718	2	1104	46255	51	0	0	0.6275	23.529	0.6275
drought and wildfire	0.1431	0.3471	1	1203	32183	71	3.1408	36.62	1.507	30.986	4.5915
drum corps	0.5221	0.1638	2	879	22797	69	0.0145	1.449	0.1304	2.899	0.1449
dua lipa	0.7469	0.4542	2	743	19089	30	0	0	0	0	0
dubai	-0.4076	0.1281	5	1328	32432	81	0.1111	7.407	0.4815	18.519	0.5926
dungeons & dragons	0.7776	0.562	2	1089	60298	208	0.0577	2.404	2.5385	63.462	2.5962
durham	0.4433	-0.2456	3	1136	22521	31	0.129	9.677	0.7097	29.032	0.8065
dutch military history	-0.9184	-0.5524	6	1844	943574	797	0.1907	7.654	3.2246	50.816	3.404
dutch municipalities	-0.5825	-0.1774	5	1512	73589	49	0.1633	4.082	1.7347	38.776	1.8776
early computers	0.4198	0.6618	2	1165	44113	106	2.4151	52.83	4.5566	65.094	6.7642
early modern warfare	-1.011	-0.3122	6	1837	2590314	4226	0.186	9.915	2.7963	55.703	2.9747
early muslim military history	-1.2402	0.2133	4	1322	402310	551	0.4065	20.69	4.6116	74.229	4.9964
east anglia	-0.2908	0.0634	5	1764	525007	1016	0.2756	7.48	1.5591	38.878	1.8278
east carolina university	0.6409	-0.7075	3	481	4405	6	0.3333	16.667	0.5	50	0.8333
eastenders	0.999	0.3357	2	898	95617	206	0.0097	0.971	1.2718	43.204	1.2816
eastern mountain coal fields task force	0.4573	-0.2443	3	930	16337	29	0.0345	3.448	1.4828	44.828	1.5172
eastern orthodoxy	-0.9917	0.6227	4	1766	1202730	860	0.4267	16.279	4.7081	51.163	5.0965
eastern philosophy	-0.5527	0.8368	4	1504	487402	227	1.978	41.41	16.1586	85.903	17.9559
eastern washington task force	0.3519	-0.8285	3	1326	66798	150	0.26	9.333	1.42	40.667	1.68
eclipses	-0.5221	0.4827	1	927	15524	37	0.4865	18.919	1.7568	29.73	2.2162
ecology	-0.1272	0.7813	1	1692	368497	638	11.3417	69.592	2.5157	54.702	13.594
economics	-0.2254	0.0465	1	1997	2375583	2455	3.6216	48.269	4.1503	56.375	7.5674
economy and infrastructure of ethiopia	-0.6934	0.0235	1	560	3174	7	0.1429	14.286	3	42.857	3.1429
ecoregions	-0.5664	0.029	1	1637	238274	287	3.2509	38.676	1.8815	43.206	5.0314
ecuador	-0.2317	-0.1035	1	1737	163650	217	2.2212	41.014	2.0369	44.24	4.2166
"ed, edd n eddy"	1.0496	-0.0136	2	223	1732	7	0	0	0.4286	14.286	0.4286
edinburgh	-0.3568	0.1496	5	1497	114273	196	0.2449	13.776	1.7194	39.796	1.9541
education	0.0273	0.1437	3	1965	970040	2144	1.9543	26.446	1.9538	46.502	3.8424
education and science in brazil	-0.0491	0.2787	1	1021	17374	33	1.4545	30.303	1.5152	33.333	2.7879
education in australia	-0.0597	0.3107	1	1493	155366	449	0.245	5.568	0.6414	23.608	0.8864
education in canada	0.1865	-0.8054	3	1519	110198	194	0.2371	9.794	1.0052	30.928	1.232
education in india	-0.3566	0.8505	4	1208	88523	282	0.273	9.574	0.617	24.113	0.8794
education in new jersey	0.4535	-0.2579	3	814	11047	66	0	0	0.0455	3.03	0.0455
